"ZIP
code [1]",Size of adjusted gross income,Number of returns
44420,"$200,000 or more",110
,,
44423,,"1,070"
44423,"$1 under $25,000",400
44423,"$25,000 under $50,000",300
44423,"$50,000 under $75,000",190
44423,"$75,000 under $100,000",100
44423,"$100,000 under $200,000",80
44423,"$200,000 or more",**
,,
44425,,"7,470"
44425,"$1 under $25,000",2780
44425,"$25,000 under $50,000",2110
44425,"$50,000 under $75,000",1230
44425,"$75,000 under $100,000",650
44425,"$100,000 under $200,000",610
44425,"$200,000 or more",90
,,
44427,,690
44427,"$1 under $25,000",260
44427,"$25,000 under $50,000",200
44427,"$50,000 under $75,000",110
44427,"$75,000 under $100,000",60
44427,"$100,000 under $200,000",60
44427,"$200,000 or more",**
,,
44428,,"1,510"
44428,"$1 under $25,000",630
44428,"$25,000 under $50,000",420
44428,"$50,000 under $75,000",230
44428,"$75,000 under $100,000",120
44428,"$100,000 under $200,000",110
44428,"$200,000 or more",**
,,
44429,,"1,180"
44429,"$1 under $25,000",430
44429,"$25,000 under $50,000",360
44429,"$50,000 under $75,000",160
44429,"$75,000 under $100,000",110
44429,"$100,000 under $200,000",90
44429,"$200,000 or more",30
,,
44430,,"1,690"
44430,"$1 under $25,000",740
44430,"$25,000 under $50,000",530
44430,"$50,000 under $75,000",230
44430,"$75,000 under $100,000",110
44430,"$100,000 under $200,000",80
44430,"$200,000 or more",**
,,
44431,,"2,300"
44431,"$1 under $25,000",890
44431,"$25,000 under $50,000",640
44431,"$50,000 under $75,000",340
44431,"$75,000 under $100,000",200
44431,"$100,000 under $200,000",200
44431,"$200,000 or more",30
,,
44432,,"4,590"
44432,"$1 under $25,000",1890
44432,"$25,000 under $50,000",1300
44432,"$50,000 under $75,000",690
44432,"$75,000 under $100,000",350
44432,"$100,000 under $200,000",320
44432,"$200,000 or more",40
,,
44436,,"1,890"
44436,"$1 under $25,000",700
44436,"$25,000 under $50,000",530
44436,"$50,000 under $75,000",290
44436,"$75,000 under $100,000",190
44436,"$100,000 under $200,000",150
44436,"$200,000 or more",30
,,
44437,,"2,140"
44437,"$1 under $25,000",810
44437,"$25,000 under $50,000",580
44437,"$50,000 under $75,000",310
44437,"$75,000 under $100,000",210
44437,"$100,000 under $200,000",200
44437,"$200,000 or more",30
,,
44438,,"2,100"
44438,"$1 under $25,000",960
44438,"$25,000 under $50,000",620
44438,"$50,000 under $75,000",280
44438,"$75,000 under $100,000",140
44438,"$100,000 under $200,000",100
44438,"$200,000 or more",**
,,
44440,,"2,250"
44440,"$1 under $25,000",790
44440,"$25,000 under $50,000",590
44440,"$50,000 under $75,000",370
44440,"$75,000 under $100,000",250
44440,"$100,000 under $200,000",230
44440,"$200,000 or more",20
,,
44441,,780
44441,"$1 under $25,000",260
44441,"$25,000 under $50,000",200
44441,"$50,000 under $75,000",130
44441,"$75,000 under $100,000",90
44441,"$100,000 under $200,000",100
44441,"$200,000 or more",**
,,
44442,,"1,980"
44442,"$1 under $25,000",670
44442,"$25,000 under $50,000",490
44442,"$50,000 under $75,000",360
44442,"$75,000 under $100,000",200
44442,"$100,000 under $200,000",240
44442,"$200,000 or more",20
,,
44443,,890
44443,"$1 under $25,000",360
44443,"$25,000 under $50,000",220
44443,"$50,000 under $75,000",150
44443,"$75,000 under $100,000",60
44443,"$100,000 under $200,000",100
44443,"$200,000 or more",**
,,
44444,,"4,900"
44444,"$1 under $25,000",1910
44444,"$25,000 under $50,000",1450
44444,"$50,000 under $75,000",760
44444,"$75,000 under $100,000",420
44444,"$100,000 under $200,000",320
44444,"$200,000 or more",40
,,
44445,,"1,470"
44445,"$1 under $25,000",540
44445,"$25,000 under $50,000",400
44445,"$50,000 under $75,000",260
44445,"$75,000 under $100,000",140
44445,"$100,000 under $200,000",130
44445,"$200,000 or more",**
,,
44446,,"9,910"
44446,"$1 under $25,000",4430
44446,"$25,000 under $50,000",2900
44446,"$50,000 under $75,000",1360
44446,"$75,000 under $100,000",660
44446,"$100,000 under $200,000",500
44446,"$200,000 or more",60
,,
44449,,570
44449,"$1 under $25,000",180
44449,"$25,000 under $50,000",170
44449,"$50,000 under $75,000",90
44449,"$75,000 under $100,000",50
44449,"$100,000 under $200,000",80
44449,"$200,000 or more",**
,,
44450,,800
44450,"$1 under $25,000",310
44450,"$25,000 under $50,000",250
44450,"$50,000 under $75,000",110
44450,"$75,000 under $100,000",70
44450,"$100,000 under $200,000",60
44450,"$200,000 or more",**
,,
44451,,"1,550"
44451,"$1 under $25,000",560
44451,"$25,000 under $50,000",370
44451,"$50,000 under $75,000",250
44451,"$75,000 under $100,000",160
44451,"$100,000 under $200,000",180
44451,"$200,000 or more",30
,,
44452,,"1,430"
44452,"$1 under $25,000",490
44452,"$25,000 under $50,000",350
44452,"$50,000 under $75,000",180
44452,"$75,000 under $100,000",150
44452,"$100,000 under $200,000",200
44452,"$200,000 or more",60
,,
44454,,470
44454,"$1 under $25,000",200
44454,"$25,000 under $50,000",110
44454,"$50,000 under $75,000",70
44454,"$75,000 under $100,000",50
44454,"$100,000 under $200,000",40
44454,"$200,000 or more",**
,,
44455,,790
44455,"$1 under $25,000",350
44455,"$25,000 under $50,000",220
44455,"$50,000 under $75,000",120
44455,"$75,000 under $100,000",50
44455,"$100,000 under $200,000",50
44455,"$200,000 or more",**
,,
44460,,"11,900"
44460,"$1 under $25,000",4610
44460,"$25,000 under $50,000",3290
44460,"$50,000 under $75,000",1760
44460,"$75,000 under $100,000",1070
44460,"$100,000 under $200,000",940
44460,"$200,000 or more",230
,,
44470,,"1,810"
44470,"$1 under $25,000",640
44470,"$25,000 under $50,000",510
44470,"$50,000 under $75,000",320
44470,"$75,000 under $100,000",180
44470,"$100,000 under $200,000",160
44470,"$200,000 or more",**
,,
44471,,"5,190"
44471,"$1 under $25,000",2370
44471,"$25,000 under $50,000",1530
44471,"$50,000 under $75,000",740
44471,"$75,000 under $100,000",320
44471,"$100,000 under $200,000",210
44471,"$200,000 or more",20
,,
44473,,"1,970"
44473,"$1 under $25,000",670
44473,"$25,000 under $50,000",570
44473,"$50,000 under $75,000",320
44473,"$75,000 under $100,000",190
44473,"$100,000 under $200,000",180
44473,"$200,000 or more",40
,,
44481,,"5,170"
44481,"$1 under $25,000",1860
44481,"$25,000 under $50,000",1440
44481,"$50,000 under $75,000",830
44481,"$75,000 under $100,000",500
44481,"$100,000 under $200,000",490
44481,"$200,000 or more",50
,,
44483,,"11,360"
44483,"$1 under $25,000",5150
44483,"$25,000 under $50,000",3170
44483,"$50,000 under $75,000",1590
44483,"$75,000 under $100,000",780
44483,"$100,000 under $200,000",600
44483,"$200,000 or more",70
,,
44484,,"11,340"
44484,"$1 under $25,000",4350
44484,"$25,000 under $50,000",2840
44484,"$50,000 under $75,000",1640
44484,"$75,000 under $100,000",1040
44484,"$100,000 under $200,000",1110
44484,"$200,000 or more",360
,,
44485,,"6,370"
44485,"$1 under $25,000",3670
44485,"$25,000 under $50,000",1720
44485,"$50,000 under $75,000",610
44485,"$75,000 under $100,000",230
44485,"$100,000 under $200,000",140
44485,"$200,000 or more",**
,,
44490,,360
44490,"$1 under $25,000",190
44490,"$25,000 under $50,000",100
44490,"$50,000 under $75,000",40
44490,"$75,000 under $100,000",30
44490,"$100,000 under $200,000",**
44490,"$200,000 or more",0
,,
44491,,"1,560"
44491,"$1 under $25,000",530
44491,"$25,000 under $50,000",480
44491,"$50,000 under $75,000",270
44491,"$75,000 under $100,000",140
44491,"$100,000 under $200,000",140
44491,"$200,000 or more",**
,,
44502,,"3,550"
44502,"$1 under $25,000",2330
44502,"$25,000 under $50,000",910
44502,"$50,000 under $75,000",220
44502,"$75,000 under $100,000",50
44502,"$100,000 under $200,000",40
44502,"$200,000 or more",**
,,
44503,,150
44503,"$1 under $25,000",120
44503,"$25,000 under $50,000",**
44503,"$50,000 under $75,000",30
44503,"$75,000 under $100,000",**
44503,"$100,000 under $200,000",**
44503,"$200,000 or more",**
,,
44504,,"1,800"
44504,"$1 under $25,000",1000
44504,"$25,000 under $50,000",450
44504,"$50,000 under $75,000",170
44504,"$75,000 under $100,000",90
44504,"$100,000 under $200,000",90
44504,"$200,000 or more",**
,,
44505,,"6,730"
44505,"$1 under $25,000",3710
44505,"$25,000 under $50,000",1630
44505,"$50,000 under $75,000",680
44505,"$75,000 under $100,000",340
44505,"$100,000 under $200,000",290
44505,"$200,000 or more",80
,,
44506,,860
44506,"$1 under $25,000",590
44506,"$25,000 under $50,000",210
44506,"$50,000 under $75,000",60
44506,"$75,000 under $100,000",**
44506,"$100,000 under $200,000",**
44506,"$200,000 or more",0
,,
44507,,"1,630"
44507,"$1 under $25,000",1200
44507,"$25,000 under $50,000",320
44507,"$50,000 under $75,000",80
44507,"$75,000 under $100,000",30
44507,"$100,000 under $200,000",**
44507,"$200,000 or more",**
,,
44509,,"4,610"
44509,"$1 under $25,000",2700
44509,"$25,000 under $50,000",1220
44509,"$50,000 under $75,000",430
44509,"$75,000 under $100,000",170
44509,"$100,000 under $200,000",90
44509,"$200,000 or more",**
,,
44510,,820
44510,"$1 under $25,000",610
44510,"$25,000 under $50,000",170
44510,"$50,000 under $75,000",40
44510,"$75,000 under $100,000",**
44510,"$100,000 under $200,000",**
44510,"$200,000 or more",0
,,
44511,,"9,320"
44511,"$1 under $25,000",4030
44511,"$25,000 under $50,000",2680
44511,"$50,000 under $75,000",1310
44511,"$75,000 under $100,000",710
44511,"$100,000 under $200,000",520
44511,"$200,000 or more",70
,,
44512,,"17,500"
44512,"$1 under $25,000",6770
44512,"$25,000 under $50,000",4510
44512,"$50,000 under $75,000",2660
44512,"$75,000 under $100,000",1600
44512,"$100,000 under $200,000",1640
44512,"$200,000 or more",320
,,
44514,,"11,850"
44514,"$1 under $25,000",3820
44514,"$25,000 under $50,000",2830
44514,"$50,000 under $75,000",1890
44514,"$75,000 under $100,000",1180
44514,"$100,000 under $200,000",1570
44514,"$200,000 or more",560
,,
44515,,"13,940"
44515,"$1 under $25,000",5380
44515,"$25,000 under $50,000",4140
44515,"$50,000 under $75,000",2130
44515,"$75,000 under $100,000",1150
44515,"$100,000 under $200,000",1040
44515,"$200,000 or more",100
,,
44601,,"15,080"
44601,"$1 under $25,000",6540
44601,"$25,000 under $50,000",4310
44601,"$50,000 under $75,000",2140
44601,"$75,000 under $100,000",1030
44601,"$100,000 under $200,000",900
44601,"$200,000 or more",160
,,
44606,,"3,010"
44606,"$1 under $25,000",980
44606,"$25,000 under $50,000",1010
44606,"$50,000 under $75,000",500
44606,"$75,000 under $100,000",250
44606,"$100,000 under $200,000",220
44606,"$200,000 or more",50
,,
44608,,"1,260"
44608,"$1 under $25,000",470
44608,"$25,000 under $50,000",380
44608,"$50,000 under $75,000",210
44608,"$75,000 under $100,000",100
44608,"$100,000 under $200,000",100
44608,"$200,000 or more",**
,,
44609,,"1,760"
44609,"$1 under $25,000",680
44609,"$25,000 under $50,000",470
44609,"$50,000 under $75,000",290
44609,"$75,000 under $100,000",160
44609,"$100,000 under $200,000",140
44609,"$200,000 or more",20
,,
44611,,860
44611,"$1 under $25,000",270
44611,"$25,000 under $50,000",310
44611,"$50,000 under $75,000",140
44611,"$75,000 under $100,000",80
44611,"$100,000 under $200,000",60
44611,"$200,000 or more",**
,,
44612,,"2,700"
44612,"$1 under $25,000",850
44612,"$25,000 under $50,000",670
44612,"$50,000 under $75,000",450
44612,"$75,000 under $100,000",310
44612,"$100,000 under $200,000",350
44612,"$200,000 or more",70
,,
44613,,970
44613,"$1 under $25,000",360
44613,"$25,000 under $50,000",310
44613,"$50,000 under $75,000",150
44613,"$75,000 under $100,000",90
44613,"$100,000 under $200,000",60
44613,"$200,000 or more",**
,,
44614,,"6,420"
44614,"$1 under $25,000",1970
44614,"$25,000 under $50,000",1550
44614,"$50,000 under $75,000",1050
44614,"$75,000 under $100,000",770
44614,"$100,000 under $200,000",910
44614,"$200,000 or more",170
,,
44615,,"4,860"
44615,"$1 under $25,000",1770
44615,"$25,000 under $50,000",1350
44615,"$50,000 under $75,000",800
44615,"$75,000 under $100,000",470
44615,"$100,000 under $200,000",400
44615,"$200,000 or more",70
,,
44618,,"3,100"
44618,"$1 under $25,000",1010
44618,"$25,000 under $50,000",910
44618,"$50,000 under $75,000",510
44618,"$75,000 under $100,000",320
44618,"$100,000 under $200,000",270
44618,"$200,000 or more",80
,,
44620,,730
44620,"$1 under $25,000",250
44620,"$25,000 under $50,000",200
44620,"$50,000 under $75,000",130
44620,"$75,000 under $100,000",80
44620,"$100,000 under $200,000",70
44620,"$200,000 or more",**
,,
44621,,"2,000"
44621,"$1 under $25,000",810
44621,"$25,000 under $50,000",560
44621,"$50,000 under $75,000",310
44621,"$75,000 under $100,000",170
44621,"$100,000 under $200,000",150
44621,"$200,000 or more",**
,,
44622,,"8,820"
44622,"$1 under $25,000",2940
44622,"$25,000 under $50,000",2450
44622,"$50,000 under $75,000",1510
44622,"$75,000 under $100,000",860
44622,"$100,000 under $200,000",830
44622,"$200,000 or more",230
,,
44624,,"2,260"
44624,"$1 under $25,000",690
44624,"$25,000 under $50,000",820
44624,"$50,000 under $75,000",380
44624,"$75,000 under $100,000",190
44624,"$100,000 under $200,000",130
44624,"$200,000 or more",50
,,
44625,,630
44625,"$1 under $25,000",230
44625,"$25,000 under $50,000",180
44625,"$50,000 under $75,000",110
44625,"$75,000 under $100,000",60
44625,"$100,000 under $200,000",50
44625,"$200,000 or more",**
,,
44626,,"1,510"
44626,"$1 under $25,000",520
44626,"$25,000 under $50,000",450
44626,"$50,000 under $75,000",260
44626,"$75,000 under $100,000",150
44626,"$100,000 under $200,000",110
44626,"$200,000 or more",20
,,
44627,,"2,520"
44627,"$1 under $25,000",790
44627,"$25,000 under $50,000",1020
44627,"$50,000 under $75,000",390
44627,"$75,000 under $100,000",130
44627,"$100,000 under $200,000",150
44627,"$200,000 or more",40
,,
44628,,490
44628,"$1 under $25,000",150
44628,"$25,000 under $50,000",170
44628,"$50,000 under $75,000",80
44628,"$75,000 under $100,000",50
44628,"$100,000 under $200,000",40
44628,"$200,000 or more",**
,,
44629,,"1,030"
44629,"$1 under $25,000",340
44629,"$25,000 under $50,000",290
44629,"$50,000 under $75,000",200
44629,"$75,000 under $100,000",120
44629,"$100,000 under $200,000",80
44629,"$200,000 or more",**
,,
44632,,"4,890"
44632,"$1 under $25,000",1620
44632,"$25,000 under $50,000",1180
44632,"$50,000 under $75,000",790
44632,"$75,000 under $100,000",520
44632,"$100,000 under $200,000",580
44632,"$200,000 or more",200
,,
44633,,"1,050"
44633,"$1 under $25,000",390
44633,"$25,000 under $50,000",370
44633,"$50,000 under $75,000",160
44633,"$75,000 under $100,000",70
44633,"$100,000 under $200,000",60
44633,"$200,000 or more",**
,,
44634,,990
44634,"$1 under $25,000",330
44634,"$25,000 under $50,000",290
44634,"$50,000 under $75,000",160
44634,"$75,000 under $100,000",120
44634,"$100,000 under $200,000",90
44634,"$200,000 or more",**
,,
44637,,"1,230"
44637,"$1 under $25,000",520
44637,"$25,000 under $50,000",390
44637,"$50,000 under $75,000",180
44637,"$75,000 under $100,000",80
44637,"$100,000 under $200,000",60
44637,"$200,000 or more",**
,,
44638,,720
44638,"$1 under $25,000",260
44638,"$25,000 under $50,000",210
44638,"$50,000 under $75,000",110
44638,"$75,000 under $100,000",70
44638,"$100,000 under $200,000",70
44638,"$200,000 or more",**
,,
44641,,"10,140"
44641,"$1 under $25,000",3420
44641,"$25,000 under $50,000",2750
44641,"$50,000 under $75,000",1710
44641,"$75,000 under $100,000",1080
44641,"$100,000 under $200,000",1040
44641,"$200,000 or more",140
,,
44643,,"1,510"
44643,"$1 under $25,000",530
44643,"$25,000 under $50,000",440
44643,"$50,000 under $75,000",260
44643,"$75,000 under $100,000",150
44643,"$100,000 under $200,000",110
44643,"$200,000 or more",20
,,
44644,,"2,170"
44644,"$1 under $25,000",790
44644,"$25,000 under $50,000",580
44644,"$50,000 under $75,000",360
44644,"$75,000 under $100,000",180
44644,"$100,000 under $200,000",220
44644,"$200,000 or more",40
,,
44645,,"1,250"
44645,"$1 under $25,000",380
44645,"$25,000 under $50,000",350
44645,"$50,000 under $75,000",220
44645,"$75,000 under $100,000",160
44645,"$100,000 under $200,000",120
44645,"$200,000 or more",20
,,
44646,,"23,180"
44646,"$1 under $25,000",8590
44646,"$25,000 under $50,000",6260
44646,"$50,000 under $75,000",3470
44646,"$75,000 under $100,000",2020
44646,"$100,000 under $200,000",2190
44646,"$200,000 or more",650
,,
44647,,"8,890"
44647,"$1 under $25,000",3370
44647,"$25,000 under $50,000",2570
44647,"$50,000 under $75,000",1450
44647,"$75,000 under $100,000",800
44647,"$100,000 under $200,000",630
44647,"$200,000 or more",70
,,
44651,,350
44651,"$1 under $25,000",130
44651,"$25,000 under $50,000",100
44651,"$50,000 under $75,000",60
44651,"$75,000 under $100,000",30
44651,"$100,000 under $200,000",30
44651,"$200,000 or more",**
,,
44654,,"8,750"
44654,"$1 under $25,000",3010
44654,"$25,000 under $50,000",2990
44654,"$50,000 under $75,000",1340
44654,"$75,000 under $100,000",620
44654,"$100,000 under $200,000",540
44654,"$200,000 or more",250
,,
44656,,"1,250"
44656,"$1 under $25,000",460
44656,"$25,000 under $50,000",330
44656,"$50,000 under $75,000",220
44656,"$75,000 under $100,000",120
44656,"$100,000 under $200,000",120
44656,"$200,000 or more",**
,,
44657,,"4,650"
44657,"$1 under $25,000",1780
44657,"$25,000 under $50,000",1290
44657,"$50,000 under $75,000",790
44657,"$75,000 under $100,000",410
44657,"$100,000 under $200,000",320
44657,"$200,000 or more",60
,,
44662,,"4,680"
44662,"$1 under $25,000",1670
44662,"$25,000 under $50,000",1390
44662,"$50,000 under $75,000",760
44662,"$75,000 under $100,000",450
44662,"$100,000 under $200,000",350
44662,"$200,000 or more",60
,,
44663,,"12,050"
44663,"$1 under $25,000",4590
44663,"$25,000 under $50,000",3440
44663,"$50,000 under $75,000",1940
44663,"$75,000 under $100,000",970
44663,"$100,000 under $200,000",910
44663,"$200,000 or more",200
,,
44666,,"1,530"
44666,"$1 under $25,000",500
44666,"$25,000 under $50,000",360
44666,"$50,000 under $75,000",260
44666,"$75,000 under $100,000",170
44666,"$100,000 under $200,000",190
44666,"$200,000 or more",50
,,
44667,,"6,260"
44667,"$1 under $25,000",2140
44667,"$25,000 under $50,000",1980
44667,"$50,000 under $75,000",1020
44667,"$75,000 under $100,000",560
44667,"$100,000 under $200,000",470
44667,"$200,000 or more",90
,,
44669,,690
44669,"$1 under $25,000",220
44669,"$25,000 under $50,000",180
44669,"$50,000 under $75,000",130
44669,"$75,000 under $100,000",80
44669,"$100,000 under $200,000",80
44669,"$200,000 or more",**
,,
44672,,"2,160"
44672,"$1 under $25,000",950
44672,"$25,000 under $50,000",680
44672,"$50,000 under $75,000",310
44672,"$75,000 under $100,000",130
44672,"$100,000 under $200,000",90
44672,"$200,000 or more",**
,,
44675,,900
44675,"$1 under $25,000",300
44675,"$25,000 under $50,000",270
44675,"$50,000 under $75,000",150
44675,"$75,000 under $100,000",100
44675,"$100,000 under $200,000",80
44675,"$200,000 or more",**
,,
44676,,"2,300"
44676,"$1 under $25,000",800
44676,"$25,000 under $50,000",740
44676,"$50,000 under $75,000",390
44676,"$75,000 under $100,000",210
44676,"$100,000 under $200,000",130
44676,"$200,000 or more",30
,,
44677,,"1,400"
44677,"$1 under $25,000",490
44677,"$25,000 under $50,000",380
44677,"$50,000 under $75,000",250
44677,"$75,000 under $100,000",120
44677,"$100,000 under $200,000",160
44677,"$200,000 or more",**
,,
44680,,"2,060"
44680,"$1 under $25,000",660
44680,"$25,000 under $50,000",550
44680,"$50,000 under $75,000",390
44680,"$75,000 under $100,000",220
44680,"$100,000 under $200,000",200
44680,"$200,000 or more",40
,,
44681,,"3,670"
44681,"$1 under $25,000",1170
44681,"$25,000 under $50,000",1280
44681,"$50,000 under $75,000",640
44681,"$75,000 under $100,000",270
44681,"$100,000 under $200,000",210
44681,"$200,000 or more",100
,,
44683,,"3,470"
44683,"$1 under $25,000",1530
44683,"$25,000 under $50,000",1020
44683,"$50,000 under $75,000",490
44683,"$75,000 under $100,000",270
44683,"$100,000 under $200,000",160
44683,"$200,000 or more",**
,,
44685,,"14,060"
44685,"$1 under $25,000",4140
44685,"$25,000 under $50,000",2770
44685,"$50,000 under $75,000",2230
44685,"$75,000 under $100,000",1780
44685,"$100,000 under $200,000",2510
44685,"$200,000 or more",630
,,
44688,,"1,380"
44688,"$1 under $25,000",550
44688,"$25,000 under $50,000",410
44688,"$50,000 under $75,000",210
44688,"$75,000 under $100,000",120
44688,"$100,000 under $200,000",90
44688,"$200,000 or more",**
,,
44689,,300
44689,"$1 under $25,000",110
44689,"$25,000 under $50,000",120
44689,"$50,000 under $75,000",50
44689,"$75,000 under $100,000",20
44689,"$100,000 under $200,000",**
44689,"$200,000 or more",**
,,
44691,,"20,360"
44691,"$1 under $25,000",7100
44691,"$25,000 under $50,000",5640
44691,"$50,000 under $75,000",3180
44691,"$75,000 under $100,000",1890
44691,"$100,000 under $200,000",2020
44691,"$200,000 or more",530
,,
44695,,570
44695,"$1 under $25,000",190
44695,"$25,000 under $50,000",180
44695,"$50,000 under $75,000",90
44695,"$75,000 under $100,000",50
44695,"$100,000 under $200,000",60
44695,"$200,000 or more",**
,,
44699,,390
44699,"$1 under $25,000",130
44699,"$25,000 under $50,000",120
44699,"$50,000 under $75,000",80
44699,"$75,000 under $100,000",30
44699,"$100,000 under $200,000",30
44699,"$200,000 or more",**
,,
44702,,280
44702,"$1 under $25,000",170
44702,"$25,000 under $50,000",50
44702,"$50,000 under $75,000",30
44702,"$75,000 under $100,000",**
44702,"$100,000 under $200,000",30
44702,"$200,000 or more",**
,,
44703,,"3,240"
44703,"$1 under $25,000",1930
44703,"$25,000 under $50,000",860
44703,"$50,000 under $75,000",290
44703,"$75,000 under $100,000",110
44703,"$100,000 under $200,000",50
44703,"$200,000 or more",**
,,
44704,,"1,530"
44704,"$1 under $25,000",1000
44704,"$25,000 under $50,000",360
44704,"$50,000 under $75,000",100
44704,"$75,000 under $100,000",40
44704,"$100,000 under $200,000",30
44704,"$200,000 or more",0
,,
44705,,"7,500"
44705,"$1 under $25,000",4050
44705,"$25,000 under $50,000",2090
44705,"$50,000 under $75,000",770
44705,"$75,000 under $100,000",320
44705,"$100,000 under $200,000",230
44705,"$200,000 or more",40
,,
44706,,"8,250"
44706,"$1 under $25,000",3640
44706,"$25,000 under $50,000",2460
44706,"$50,000 under $75,000",1120
44706,"$75,000 under $100,000",580
44706,"$100,000 under $200,000",410
44706,"$200,000 or more",40
,,
44707,,"3,800"
44707,"$1 under $25,000",2150
44707,"$25,000 under $50,000",970
44707,"$50,000 under $75,000",380
44707,"$75,000 under $100,000",160
44707,"$100,000 under $200,000",140
44707,"$200,000 or more",**
,,
44708,,"12,710"
44708,"$1 under $25,000",4810
44708,"$25,000 under $50,000",3600
44708,"$50,000 under $75,000",1900
44708,"$75,000 under $100,000",1070
44708,"$100,000 under $200,000",1010
44708,"$200,000 or more",320
,,
44709,,"9,080"
44709,"$1 under $25,000",3550
44709,"$25,000 under $50,000",2640
44709,"$50,000 under $75,000",1370
44709,"$75,000 under $100,000",680
44709,"$100,000 under $200,000",650
44709,"$200,000 or more",190
,,
44710,,"4,190"
44710,"$1 under $25,000",2060
44710,"$25,000 under $50,000",1310
44710,"$50,000 under $75,000",520
44710,"$75,000 under $100,000",190
44710,"$100,000 under $200,000",110
44710,"$200,000 or more",**
,,
44714,,"4,300"
44714,"$1 under $25,000",1850
44714,"$25,000 under $50,000",1240
44714,"$50,000 under $75,000",630
44714,"$75,000 under $100,000",280
44714,"$100,000 under $200,000",250
44714,"$200,000 or more",50
,,
44718,,"6,670"
44718,"$1 under $25,000",2090
44718,"$25,000 under $50,000",1350
44718,"$50,000 under $75,000",880
44718,"$75,000 under $100,000",620
44718,"$100,000 under $200,000",1060
44718,"$200,000 or more",670
,,
44720,,"20,580"
44720,"$1 under $25,000",6360
44720,"$25,000 under $50,000",4770
44720,"$50,000 under $75,000",3450
44720,"$75,000 under $100,000",2270
44720,"$100,000 under $200,000",2910
44720,"$200,000 or more",820
,,
44721,,"6,970"
44721,"$1 under $25,000",2050
44721,"$25,000 under $50,000",1570
44721,"$50,000 under $75,000",1220
44721,"$75,000 under $100,000",910
44721,"$100,000 under $200,000",1030
44721,"$200,000 or more",190
,,
44730,,"2,950"
44730,"$1 under $25,000",1070
44730,"$25,000 under $50,000",890
44730,"$50,000 under $75,000",510
44730,"$75,000 under $100,000",270
44730,"$100,000 under $200,000",210
44730,"$200,000 or more",**
,,
44802,,500
44802,"$1 under $25,000",160
44802,"$25,000 under $50,000",120
44802,"$50,000 under $75,000",90
44802,"$75,000 under $100,000",60
44802,"$100,000 under $200,000",70
44802,"$200,000 or more",**
,,
44804,,600
44804,"$1 under $25,000",190
44804,"$25,000 under $50,000",190
44804,"$50,000 under $75,000",100
44804,"$75,000 under $100,000",60
44804,"$100,000 under $200,000",60
44804,"$200,000 or more",**
,,
44805,,"14,740"
44805,"$1 under $25,000",5610
44805,"$25,000 under $50,000",4180
44805,"$50,000 under $75,000",2260
44805,"$75,000 under $100,000",1310
44805,"$100,000 under $200,000",1150
44805,"$200,000 or more",230
,,
44807,,"1,160"
44807,"$1 under $25,000",370
44807,"$25,000 under $50,000",360
44807,"$50,000 under $75,000",210
44807,"$75,000 under $100,000",120
44807,"$100,000 under $200,000",100
44807,"$200,000 or more",**
,,
44811,,"6,340"
44811,"$1 under $25,000",2210
44811,"$25,000 under $50,000",1820
44811,"$50,000 under $75,000",1100
44811,"$75,000 under $100,000",590
44811,"$100,000 under $200,000",560
44811,"$200,000 or more",60
,,
44813,,"3,690"
44813,"$1 under $25,000",1310
44813,"$25,000 under $50,000",970
44813,"$50,000 under $75,000",570
44813,"$75,000 under $100,000",420
44813,"$100,000 under $200,000",360
44813,"$200,000 or more",60
,,
44814,,"1,500"
44814,"$1 under $25,000",500
44814,"$25,000 under $50,000",360
44814,"$50,000 under $75,000",250
44814,"$75,000 under $100,000",170
44814,"$100,000 under $200,000",220
44814,"$200,000 or more",**
,,
44817,,680
44817,"$1 under $25,000",200
44817,"$25,000 under $50,000",240
44817,"$50,000 under $75,000",110
44817,"$75,000 under $100,000",60
44817,"$100,000 under $200,000",70
44817,"$200,000 or more",**
,,
44818,,"1,210"
44818,"$1 under $25,000",430
44818,"$25,000 under $50,000",340
44818,"$50,000 under $75,000",220
44818,"$75,000 under $100,000",120
44818,"$100,000 under $200,000",100
44818,"$200,000 or more",**
,,
44820,,"8,240"
44820,"$1 under $25,000",3340
44820,"$25,000 under $50,000",2580
44820,"$50,000 under $75,000",1170
44820,"$75,000 under $100,000",580
44820,"$100,000 under $200,000",500
44820,"$200,000 or more",70
,,
44822,,"1,540"
44822,"$1 under $25,000",520
44822,"$25,000 under $50,000",480
44822,"$50,000 under $75,000",250
44822,"$75,000 under $100,000",150
44822,"$100,000 under $200,000",120
44822,"$200,000 or more",20
,,
44824,,"2,120"
44824,"$1 under $25,000",660
44824,"$25,000 under $50,000",640
44824,"$50,000 under $75,000",350
44824,"$75,000 under $100,000",230
44824,"$100,000 under $200,000",240
44824,"$200,000 or more",**
,,
44826,,880
44826,"$1 under $25,000",270
44826,"$25,000 under $50,000",260
44826,"$50,000 under $75,000",180
44826,"$75,000 under $100,000",100
44826,"$100,000 under $200,000",70
44826,"$200,000 or more",**
,,
44827,,"3,270"
44827,"$1 under $25,000",1320
44827,"$25,000 under $50,000",1000
44827,"$50,000 under $75,000",490
44827,"$75,000 under $100,000",260
44827,"$100,000 under $200,000",170
44827,"$200,000 or more",30
,,
44830,,"8,570"
44830,"$1 under $25,000",3570
44830,"$25,000 under $50,000",2690
