"ZIP
code [1]",Size of adjusted gross income,Number of returns
43215,"$1 under $25,000",2050
43215,"$25,000 under $50,000",2490
43215,"$50,000 under $75,000",2010
43215,"$75,000 under $100,000",990
43215,"$100,000 under $200,000",1140
43215,"$200,000 or more",630
,,
43217,,"1,040"
43217,"$1 under $25,000",480
43217,"$25,000 under $50,000",440
43217,"$50,000 under $75,000",100
43217,"$75,000 under $100,000",20
43217,"$100,000 under $200,000",**
43217,"$200,000 or more",**
,,
43219,,"13,170"
43219,"$1 under $25,000",6610
43219,"$25,000 under $50,000",3890
43219,"$50,000 under $75,000",1500
43219,"$75,000 under $100,000",610
43219,"$100,000 under $200,000",490
43219,"$200,000 or more",70
,,
43220,,"14,360"
43220,"$1 under $25,000",4190
43220,"$25,000 under $50,000",3290
43220,"$50,000 under $75,000",2000
43220,"$75,000 under $100,000",1230
43220,"$100,000 under $200,000",2220
43220,"$200,000 or more",1430
,,
43221,,"17,340"
43221,"$1 under $25,000",3840
43221,"$25,000 under $50,000",3120
43221,"$50,000 under $75,000",2650
43221,"$75,000 under $100,000",1970
43221,"$100,000 under $200,000",3630
43221,"$200,000 or more",2130
,,
43222,,"1,600"
43222,"$1 under $25,000",1070
43222,"$25,000 under $50,000",410
43222,"$50,000 under $75,000",80
43222,"$75,000 under $100,000",40
43222,"$100,000 under $200,000",**
43222,"$200,000 or more",**
,,
43223,,"10,540"
43223,"$1 under $25,000",5690
43223,"$25,000 under $50,000",3220
43223,"$50,000 under $75,000",1050
43223,"$75,000 under $100,000",380
43223,"$100,000 under $200,000",200
43223,"$200,000 or more",**
,,
43224,,"20,480"
43224,"$1 under $25,000",10470
43224,"$25,000 under $50,000",6720
43224,"$50,000 under $75,000",2060
43224,"$75,000 under $100,000",750
43224,"$100,000 under $200,000",450
43224,"$200,000 or more",30
,,
43227,,"11,670"
43227,"$1 under $25,000",5940
43227,"$25,000 under $50,000",3930
43227,"$50,000 under $75,000",1170
43227,"$75,000 under $100,000",390
43227,"$100,000 under $200,000",240
43227,"$200,000 or more",**
,,
43228,,"26,160"
43228,"$1 under $25,000",11200
43228,"$25,000 under $50,000",8200
43228,"$50,000 under $75,000",3410
43228,"$75,000 under $100,000",1750
43228,"$100,000 under $200,000",1490
43228,"$200,000 or more",110
,,
43229,,"25,660"
43229,"$1 under $25,000",11610
43229,"$25,000 under $50,000",8700
43229,"$50,000 under $75,000",3020
43229,"$75,000 under $100,000",1280
43229,"$100,000 under $200,000",970
43229,"$200,000 or more",80
,,
43230,,"29,690"
43230,"$1 under $25,000",8000
43230,"$25,000 under $50,000",7540
43230,"$50,000 under $75,000",5140
43230,"$75,000 under $100,000",3530
43230,"$100,000 under $200,000",4580
43230,"$200,000 or more",900
,,
43231,,"10,550"
43231,"$1 under $25,000",4430
43231,"$25,000 under $50,000",3330
43231,"$50,000 under $75,000",1390
43231,"$75,000 under $100,000",770
43231,"$100,000 under $200,000",590
43231,"$200,000 or more",40
,,
43232,,"21,480"
43232,"$1 under $25,000",10180
43232,"$25,000 under $50,000",7410
43232,"$50,000 under $75,000",2380
43232,"$75,000 under $100,000",950
43232,"$100,000 under $200,000",520
43232,"$200,000 or more",40
,,
43235,,"22,600"
43235,"$1 under $25,000",6100
43235,"$25,000 under $50,000",5500
43235,"$50,000 under $75,000",3550
43235,"$75,000 under $100,000",2440
43235,"$100,000 under $200,000",3620
43235,"$200,000 or more",1390
,,
43240,,"2,950"
43240,"$1 under $25,000",670
43240,"$25,000 under $50,000",660
43240,"$50,000 under $75,000",620
43240,"$75,000 under $100,000",490
43240,"$100,000 under $200,000",470
43240,"$200,000 or more",40
,,
43302,,"21,810"
43302,"$1 under $25,000",8880
43302,"$25,000 under $50,000",6670
43302,"$50,000 under $75,000",3000
43302,"$75,000 under $100,000",1600
43302,"$100,000 under $200,000",1410
43302,"$200,000 or more",250
,,
43310,,"1,570"
43310,"$1 under $25,000",450
43310,"$25,000 under $50,000",460
43310,"$50,000 under $75,000",300
43310,"$75,000 under $100,000",180
43310,"$100,000 under $200,000",150
43310,"$200,000 or more",30
,,
43311,,"9,500"
43311,"$1 under $25,000",3460
43311,"$25,000 under $50,000",2690
43311,"$50,000 under $75,000",1550
43311,"$75,000 under $100,000",850
43311,"$100,000 under $200,000",820
43311,"$200,000 or more",130
,,
43314,,"1,370"
43314,"$1 under $25,000",440
43314,"$25,000 under $50,000",410
43314,"$50,000 under $75,000",240
43314,"$75,000 under $100,000",150
43314,"$100,000 under $200,000",130
43314,"$200,000 or more",**
,,
43315,,"3,260"
43315,"$1 under $25,000",1110
43315,"$25,000 under $50,000",970
43315,"$50,000 under $75,000",510
43315,"$75,000 under $100,000",330
43315,"$100,000 under $200,000",300
43315,"$200,000 or more",40
,,
43316,,"2,970"
43316,"$1 under $25,000",930
43316,"$25,000 under $50,000",980
43316,"$50,000 under $75,000",530
43316,"$75,000 under $100,000",260
43316,"$100,000 under $200,000",240
43316,"$200,000 or more",30
,,
43318,,"1,600"
43318,"$1 under $25,000",520
43318,"$25,000 under $50,000",480
43318,"$50,000 under $75,000",290
43318,"$75,000 under $100,000",180
43318,"$100,000 under $200,000",130
43318,"$200,000 or more",**
,,
43319,,530
43319,"$1 under $25,000",120
43319,"$25,000 under $50,000",130
43319,"$50,000 under $75,000",110
43319,"$75,000 under $100,000",70
43319,"$100,000 under $200,000",100
43319,"$200,000 or more",**
,,
43320,,680
43320,"$1 under $25,000",250
43320,"$25,000 under $50,000",180
43320,"$50,000 under $75,000",130
43320,"$75,000 under $100,000",70
43320,"$100,000 under $200,000",50
43320,"$200,000 or more",**
,,
43321,,130
43321,"$1 under $25,000",50
43321,"$25,000 under $50,000",40
43321,"$50,000 under $75,000",40
43321,"$75,000 under $100,000",**
43321,"$100,000 under $200,000",**
43321,"$200,000 or more",**
,,
43323,,320
43323,"$1 under $25,000",110
43323,"$25,000 under $50,000",80
43323,"$50,000 under $75,000",50
43323,"$75,000 under $100,000",40
43323,"$100,000 under $200,000",40
43323,"$200,000 or more",**
,,
43324,,"1,420"
43324,"$1 under $25,000",430
43324,"$25,000 under $50,000",330
43324,"$50,000 under $75,000",230
43324,"$75,000 under $100,000",180
43324,"$100,000 under $200,000",210
43324,"$200,000 or more",40
,,
43326,,"5,750"
43326,"$1 under $25,000",2230
43326,"$25,000 under $50,000",1740
43326,"$50,000 under $75,000",880
43326,"$75,000 under $100,000",460
